N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
136,녹십자,"191,000","1,500",+0.79%,"5,000","22,321","11,687",23.01,"39,804",25.88,7.48,
137,OCI,"93,500","2,200",-2.30%,"5,000","22,299","23,849",15.16,"224,070",11.15,-9.89,
138,영원무역,"48,100",0,0.00%,500,"21,314","44,311",28.16,"154,688",9.25,8.03,
139,씨에스윈드,"50,300",450,+0.90%,500,"21,212","42,171",11.54,"228,885",45.64,8.19,
140,TIGER 200,"37,560",300,+0.81%,0,"20,921","55,700",0.00,"702,418",N/A,N/A,
141,현대로템,"19,100",250,-1.29%,"5,000","20,846","109,142",3.39,"423,323",66.55,2.84,
142,KODEX MSCI Korea TR,"12,145",145,+1.21%,0,"20,841","171,600",3.33,"410,402",N/A,N/A,
143,농심,"339,000","2,500",-0.73%,"5,000","20,620","6,083",12.65,"24,623",19.32,7.50,
144,효성첨단소재,"446,000","3,000",-0.67%,"5,000","19,981","4,480",9.94,"60,557",9.31,0.03,
145,휠라홀딩스,"32,800",550,+1.71%,"1,000","19,927","60,752",43.79,"292,536",8.47,10.94,
146,롯데정밀화학,"76,500","1,100",-1.42%,"5,000","19,737","25,800",21.55,"116,949",4.63,12.65,
147,효성티앤씨,"451,500","17,500",+4.03%,"5,000","19,539","4,328",16.47,"93,892",2.77,25.10,
148,후성,"20,950",300,-1.41%,500,"19,401","92,607",6.74,"1,023,207",70.54,2.79,
149,TIGER 미국나스닥100,"80,465","1,105",+1.39%,0,"19,320","24,010",0.01,"187,267",N/A,N/A,
150,동원시스템즈,"63,800","1,500",+2.41%,"5,000","18,622","29,188",13.20,"208,403",28.89,10.97,
151,솔루스첨단소재,"60,800","6,100",-9.12%,100,"18,599","30,590",7.05,"1,274,908",-239.37,-5.10,
152,현대위아,"66,800","1,500",-2.20%,"5,000","18,166","27,195",6.57,"202,407",49.78,1.96,
153,한미반도체,"36,400",50,+0.14%,200,"18,003","49,460",5.90,"281,280",21.64,21.03,
154,현대백화점,"76,700",300,+0.39%,"5,000","17,950","23,402",18.28,"198,287",11.60,1.65,
155,코오롱인더,"64,800","1,300",-1.97%,"5,000","17,832","27,519",19.70,"218,895",10.06,9.70,
